sample_index;real;imag;amplitude;phase_rad
0;-0,0024576418;-0,0024576418;0,0034756302;-2,3561944962
1;0,0026036967;0,0026036967;0,0036821831;0,7853981853
2;-0,0022266775;-0,0022266775;0,0031489974;-2,3561944962
3;-0,0003120266;-0,0003120266;0,0004412722;-2,3561944962
4;0,0011904750;0,0011904750;0,0016835858;0,7853981853
5;-0,0010395255;-0,0010395255;0,0014701111;-2,3561944962
6;0,0017405830;-0,0031747005;0,0036205461;-1,0692847967
7;-0,0007044333;0,0045029600;0,0045577269;1,7259764671
8;-0,0040058326;-0,0035439043;0,0053484533;-2,4173030853
9;0,0050237975;-0,0008076490;0,0050883037;-0,1594007313
10;-0,0020907416;0,0047435630;0,0051838779;1,9859342575
11;-0,0032438799;-0,0046988777;0,0057098344;-2,1750178337
12;0,0028583466;-0,0058720047;0,0065307417;-1,1177843809
13;0,0006667894;0,0117517598;0,0117706610;1,5141175985
14;-0,0031089911;-0,0087626809;0,0092978710;-1,9117400646
15;0,0036215167;-0,0017923084;0,0040407614;-0,4595636725
16;0,0102151586;0,0272520203;0,0291036423;1,2121655941
17;-0,0244213603;-0,0380352661;0,0452004895;-2,1415777206
18;-0,0391699262;-0,0535667576;0,0663602352;-2,2021796703
19;0,1217637435;0,1532100290;0,1957031488;0,8992645144
20;0,0807741955;0,0662624910;0,1044757739;0,6870223284
21;-0,6907327771;-0,7067360282;0,9882244468;-2,3447434902
22;-1,5503386259;-1,4839628935;2,1460883617;-2,3780660629
23;-1,4887822866;-1,5666822195;2,1612417698;-2,3307046890
24;-1,2195327282;-1,3641335964;1,8297870159;-2,3002855778
25;-1,7443135977;-1,3754369020;2,2213637829;-2,4738872051
26;-1,6702140570;-1,4449523687;2,2085068226;-2,4283802509
27;0,2767661512;-1,4116798639;1,4385546446;-1,3771973848
28;1,7060246468;-1,4089376926;2,2126059532;-0,6903116107
29;0,3106715381;-1,4252239466;1,4586911201;-1,3561728001
30;-1,7178627253;-1,4118283987;2,2235808372;-2,4536688328
31;-1,7133640051;-1,4087733030;2,2181656361;-2,4534451962
32;-1,1162055731;-1,4224439859;1,8081099987;-2,2361440659
33;-1,7090553045;-1,4126645327;2,2173161507;-2,4508554935
34;-1,7114475965;-1,4141565561;2,2201108932;-2,4510240555
35;0,2975590527;-1,4179751873;1,4488599300;-1,3639498949
